T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
1000,0.85,0.1066,317,9.43E-02,23.73,-50.67,9.43E-05,0.20,4.22,9.38E+00,140.56,3,4,12
300,0.85,0.1314,261,1.56E-02,23.73,-50.67,5.18E-05,0.20,4.22,7.61E+00,140.56,3,4,12
400,0.85,0.0656,259,4.09E-02,23.73,-50.67,1.02E-04,0.20,4.22,1.52E+01,140.56,3,4,12
700,0.85,0.0458,283,1.22E-01,23.73,-50.67,1.75E-04,0.20,4.22,2.18E+01,140.56,3,4,12
1000,0.85,0.0488,315,2.03E-01,23.73,-50.67,2.03E-04,0.20,4.22,2.05E+01,140.56,3,4,12
300,0.85,0.011,174.4,8.30E-02,23.73,-50.67,2.77E-04,0.20,4.22,9.09E+01,140.56,3,4,12
400,0.85,0.0112,187.8,1.26E-01,23.73,-50.67,3.15E-04,0.20,4.22,8.93E+01,140.56,3,4,12
700,0.85,0.0137,232,2.75E-01,23.73,-50.67,3.93E-04,0.20,4.22,7.30E+01,140.56,3,4,12
1000,0.85,0.0171,271,4.29E-01,23.73,-50.67,4.29E-04,0.20,4.22,5.85E+01,140.56,3,4,12
300,0.85,0.00164,99.7,1.82E-01,23.73,-50.67,6.06E-04,0.20,4.22,6.10E+02,140.56,3,4,12
400,0.85,0.00196,115,2.70E-01,23.73,-50.67,6.75E-04,0.20,4.22,5.10E+02,140.56,3,4,12
700,0.85,0.00299,144.9,4.92E-01,23.73,-50.67,7.02E-04,0.20,4.22,3.34E+02,140.56,3,4,12
1000,0.85,0.00408,168.2,6.93E-01,23.73,-50.67,6.93E-04,0.20,4.22,2.45E+02,140.56,3,4,12
300,0.85,1.199,165,6.81E-04,23.73,-50.67,2.27E-06,0.000469788,1.45,8.34E-01,822.88,4,7,28
400,0.85,0.5376,315.9,7.43E-03,23.73,-50.67,1.86E-05,0.006750055,1.1,1.86E+00,822.88,4,7,28
700,0.85,0.2486,411.8,4.78E-02,23.73,-50.67,6.82E-05,0.064093403,0.745,4.02E+00,822.88,4,7,28
1000,0.85,0.1127,265.4,6.25E-02,23.73,-50.67,6.25E-05,0.090317483,0.692,8.87E+00,822.88,4,7,28
300,0.85,0.0981,90,2.48E-03,23.73,-50.67,8.26E-06,0.001483272,1.67,1.02E+01,822.88,4,7,28
400,0.85,0.0461,164.8,2.36E-02,23.73,-50.67,5.89E-05,0.019004296,1.24,2.17E+01,822.88,4,7,28
700,0.85,0.0172,248,2.50E-01,23.73,-50.67,3.58E-04,0.297984496,0.84,5.81E+01,822.88,4,7,28
1000,0.85,0.0172,287.5,4.81E-01,23.73,-50.67,4.81E-04,0.717253124,0.67,5.81E+01,822.88,4,7,28
300,0.85,0.0589,81.5,3.38E-03,23.73,-50.67,1.13E-05,0.002050394,1.65,1.70E+01,822.88,4,7,28
400,0.85,0.0337,150,2.67E-02,23.73,-50.67,6.68E-05,0.021028529,1.27,2.97E+01,822.88,4,7,28
700,0.85,0.0138,233,2.75E-01,23.73,-50.67,3.93E-04,0.320208123,0.86,7.25E+01,822.88,4,7,28
1000,0.85,0.0134,262,5.12E-01,23.73,-50.67,5.12E-04,0.73390925,0.698,7.46E+01,822.88,4,7,28
300,0.85,0.0275,112.6,1.38E-02,23.73,-50.67,4.61E-05,0.008698978,1.59,3.64E+01,822.88,4,7,28
400,0.85,0.0187,152,4.94E-02,23.73,-50.67,1.24E-04,0.039855097,1.24,5.35E+01,822.88,4,7,28
700,0.85,0.0122,215,2.65E-01,23.73,-50.67,3.79E-04,0.315744536,0.84,8.20E+01,822.88,4,7,28
1000,0.85,0.0125,243,4.72E-01,23.73,-50.67,4.72E-04,0.694694118,0.68,8.00E+01,822.88,4,7,28
300,0.85,0.0475,-191,2.30E-02,23.73,-50.67,7.68E-05,0.00404932,5.69,2.11E+01,601.91,16,3,48
400,0.85,0.026,-183,5.15E-02,23.73,-50.67,1.29E-04,0.009648228,5.34,3.85E+01,601.91,16,3,48
700,0.85,0.0123,-180.6,1.86E-01,23.73,-50.67,2.65E-04,0.037881951,4.9,8.13E+01,601.91,16,3,48
1000,0.85,0.00605,-87.3,1.26E-01,23.73,-50.67,1.26E-04,0.025093971,5.02,1.65E+02,601.91,16,3,48
300,0.85,0.1275,-318,2.38E-02,23.73,-50.67,7.93E-05,0.005183852,4.59,7.84E+00,601.91,16,3,48
400,0.85,0.0563,-327,7.60E-02,23.73,-50.67,1.90E-04,0.018574785,4.09,1.78E+01,601.91,16,3,48
700,0.85,0.024,-287,2.40E-01,23.73,-50.67,3.43E-04,0.060820992,3.95,4.17E+01,601.91,16,3,48
1000,0.85,0.0122,-100.8,8.33E-02,23.73,-50.67,8.33E-05,0.019782407,4.21,8.20E+01,601.91,16,3,48
300,0.85,0.27,-226,5.68E-03,23.73,-50.67,1.89E-05,0.001984305,2.86,3.70E+00,601.91,16,3,48
400,0.85,0.1495,-227,1.38E-02,23.73,-50.67,3.45E-05,0.005222357,2.64,6.69E+00,601.91,16,3,48
700,0.85,0.0518,-222,6.66E-02,23.73,-50.67,9.51E-05,0.0225,2.96,1.93E+01,601.91,16,3,48
1000,0.85,0.0214,-68,2.16E-02,23.73,-50.67,2.16E-05,0.006710396,3.22,4.67E+01,601.91,16,3,48
300,0.85,0.4571,470,1.45E-02,23.73,-50.67,4.83E-05,0.009414235,1.54,2.19E+00,770.68,2,13,26
400,0.85,0.409,463,2.10E-02,23.73,-50.67,5.24E-05,0.017044865,1.23,2.45E+00,770.68,2,13,26
700,0.85,0.2349,390,4.53E-02,23.73,-50.67,6.48E-05,0.059326794,0.764,4.26E+00,770.68,2,13,26
300,0.85,0.0332,193,3.37E-02,23.73,-50.67,1.12E-04,0.022589755,1.49,3.01E+01,770.68,2,13,26
400,0.85,0.0224,219.9,8.64E-02,23.73,-50.67,2.16E-04,0.071958348,1.2,4.46E+01,770.68,2,13,26
700,0.85,0.0181,261.7,2.65E-01,23.73,-50.67,3.78E-04,0.317966897,0.833,5.52E+01,770.68,2,13,26
300,0.85,0.00506,142.7,1.21E-01,23.73,-50.67,4.02E-04,0.083262737,1.45,1.98E+02,770.68,2,13,26
