T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
300,0.85,0.00113436,-192.21,9.77E-01,0.00113,-192.21,3.26E-03,0.380118325,2.57047,8.82E+02,742.7420554,2,16.2,32.4
400,0.85,0.00128767,-214.39,1.43E+00,0.00113,-192.21,3.57E-03,0.644976838,2.21377,7.77E+02,742.7420554,2,16.2,32.4
700,0.85,0.00159808,-247.54,2.68E+00,0.00113,-192.21,3.83E-03,1.385962072,1.93658,6.26E+02,742.7420554,2,16.2,32.4
300,0.85,0.000368595,62.38,3.17E-01,0.00057,105,1.06E-03,0.079250912,3.99643,2.71E+03,269.84,4,2,8
400,0.85,0.000569421,105,7.74E-01,0.00057,105,1.94E-03,0.289521835,2.675,1.76E+03,269.84,4,2,8
700,0.85,0.0017124,212.86,1.85E+00,0.00057,105,2.65E-03,1.329723145,1.39286,5.84E+02,269.84,4,2,8
300,0.85,0.000413223,50.95,1.88E-01,0.00062,98.33,6.28E-04,0.062528934,3.01429,2.42E+03,269.84,4,2,8
400,0.85,0.000619008,98.33,6.25E-01,0.00062,98.33,1.56E-03,0.28172853,2.21786,1.62E+03,269.84,4,2,8
700,0.85,0.00160579,209.05,1.91E+00,0.00062,98.33,2.72E-03,1.502553777,1.26786,6.23E+02,269.84,4,2,8
1000,0.85,0.00205455,204,2.03E+00,0.00062,98.33,2.03E-03,1.703161584,1.18929,4.87E+02,269.84,4,2,8
300,0.85,0.000512397,58.81,2.02E-01,0.00069,89.76,6.75E-04,0.075096639,2.69643,1.95E+03,269.84,4,2,8
400,0.85,0.000690909,89.76,4.66E-01,0.00069,89.76,1.17E-03,0.216602878,2.15357,1.45E+03,269.84,4,2,8
700,0.85,0.00163306,205.24,1.81E+00,0.00069,89.76,2.58E-03,1.392715388,1.29643,6.12E+02,269.84,4,2,8
1000,0.85,0.00198264,197,1.96E+00,0.00069,89.76,1.96E-03,1.636067789,1.19643,5.04E+02,269.84,4,2,8
300,0.85,0.00274242,140.4,2.16E-01,0.00355,197.87,7.19E-04,0.111032448,1.9421,3.65E+02,269.84,4,2,8
400,0.85,0.00354545,201.46,4.58E-01,0.00355,197.87,1.14E-03,0.295085853,1.55169,2.82E+02,269.84,4,2,8
700,0.85,0.00872727,323.94,8.42E-01,0.00355,197.87,1.20E-03,0.871875767,0.965347,1.15E+02,269.84,4,2,8
300,0.85,0.00239394,136.17,2.32E-01,0.00291,195.21,7.75E-04,0.107163649,2.16832,4.18E+02,269.84,4,2,8
400,0.85,0.00290909,195.21,5.24E-01,0.00291,195.21,1.31E-03,0.316428584,1.65594,3.44E+02,269.84,4,2,8
700,0.85,0.00536364,327.66,1.40E+00,0.00291,195.21,2.00E-03,1.387416646,1.0099,1.86E+02,269.84,4,2,8
300,0.85,0.001822,169,4.70E-01,0.00208,192,1.57E-03,0.20,4.22,5.49E+02,169.78,4,2,8
400,0.85,0.00208,192,7.09E-01,0.00208,192,1.77E-03,0.20,4.22,4.81E+02,169.78,4,2,8
700,0.85,0.00302,242,1.36E+00,0.00208,192,1.94E-03,0.20,4.22,3.31E+02,169.78,4,2,8
1000,0.85,0.004144,273,1.80E+00,0.00208,192,1.80E-03,0.20,4.22,2.41E+02,169.78,4,2,8
300,0.85,0.001495,137,3.77E-01,0.00171,161,1.26E-03,0.20,4.22,6.69E+02,169.78,4,2,8
400,0.85,0.001705,161,6.08E-01,0.00171,161,1.52E-03,0.20,4.22,5.87E+02,169.78,4,2,8
700,0.85,0.002454,218.3,1.36E+00,0.00171,161,1.94E-03,0.20,4.22,4.08E+02,169.78,4,2,8
1000,0.85,0.003342,254,1.93E+00,0.00171,161,1.93E-03,0.20,4.22,2.99E+02,169.78,4,2,8
300,0.85,0.00133341,127.631,3.67E-01,0.0015184,151.36,1.22E-03,0.08445088,4.33976,7.50E+02,169.78,4,2,8
400,0.85,0.0015184,151.36,6.04E-01,0.0015184,151.36,1.51E-03,0.145604448,4.14497,6.59E+02,169.78,4,2,8
700,0.85,0.00218446,209.823,1.41E+00,0.0015184,151.36,2.02E-03,0.369646753,3.81657,4.58E+02,169.78,4,2,8
1000,0.85,0.00294846,248.114,2.09E+00,0.0015184,151.36,2.09E-03,0.580112442,3.59911,3.39E+02,169.78,4,2,8
300,0.85,0.00117001,-122.807,3.87E-01,0.00133537,150.045,1.29E-03,0.093418564,4.13947,8.55E+02,169.78,4,2,8
400,0.85,0.00133537,-150.045,6.74E-01,0.00133537,150.045,1.69E-03,0.159453467,4.22929,7.49E+02,169.78,4,2,8
700,0.85,0.00194253,-230.877,1.92E+00,0.00133537,150.045,2.74E-03,0.51588803,3.72337,5.15E+02,169.78,4,2,8
1000,0.85,0.002504,-281.446,3.16E+00,0.00133537,150.045,3.16E-03,0.862981105,3.66568,3.99E+02,169.78,4,2,8
300,0.85,0.0075,-200,1.60E-01,0.0051,-245,5.33E-04,0.020725389,7.72,1.33E+02,208.21,4,3,12
400,0.85,0.0051,-245,4.71E-01,0.0051,-245,1.18E-03,0.07005719,6.72,1.96E+02,208.21,4,3,12
700,0.85,0.00217,-233,1.75E+00,0.0051,-245,2.50E-03,0.31783268,5.51,4.61E+02,208.21,4,3,12
1000,0.85,0.0015,-155,1.60E+00,0.0051,-245,1.60E-03,0.207738867,7.71,6.67E+02,208.21,4,3,12
300,0.85,0.0021239,108.88,1.67E-01,0.00238,119.75,5.58E-04,0.076639366,2.18498,4.71E+02,380.53,2,14,28
400,0.85,0.00238192,120,2.42E-01,0.00238,119.75,6.05E-04,0.113817986,2.1246,4.20E+02,380.53,2,14,28
700,0.85,0.00276581,171.43,7.44E-01,0.00238,119.75,1.06E-03,0.3597171,2.0678,3.62E+02,380.53,2,14,28
1000,0.85,0.0036682,293.62,2.35E+00,0.00238,119.75,2.35E-03,1.191133093,1.9731,2.73E+02,380.53,2,14,28
300,0.85,0.032463527,-196.16,3.56E-02,0.03246,-196.16,1.19E-04,0.027669081,1.28517,3.08E+01,1357.83,2,23,46
300,0.85,0.004159267,-219.62,3.48E-01,0.004159,-219.62,1.16E-03,0.20,4.22,2.40E+02,1357.83,2,23,46
300,0.85,0.00146827,135.09,3.73E-01,0.001467,142.36,1.24E-03,0.162121393,2.3,6.81E+02,236.38,2,10.86,21.72
400,0.85,0.00146667,142.36,5.53E-01,0.001467,142.36,1.38E-03,0.23521233,2.35,6.82E+02,236.38,2,10.86,21.72
700,0.85,0.00144731,173.46,1.46E+00,0.001467,142.36,2.08E-03,0.559676118,2.6,6.91E+02,236.38,2,10.86,21.72
1000,0.85,0.00137846,207.27,3.12E+00,0.001467,142.36,3.12E-03,1.074714975,2.9,7.25E+02,236.38,2,10.86,21.72
700,0.0146252,1.810214336,-501.65,9.73E-03,181.543206,-500.55,1.39E-05,0.000903217,10.7741,5.51E-03,47.62,2,2,4
1000,1.05302,0.03200037,-549.67,9.44E-01,181.543206,-500.55,9.44E-04,0.128765807,7.33252,3.10E-01,47.62,2,2,4
400,0.85,1.056963524,-289.98,3.18E-03,105.6963524,-289.98,7.96E-06,0.000176091,18.0719,1683.85,47.62,2,2,4
700,0.0146252,0.25844611,-331.35,2.97E-02,105.6963524,-289.98,4.25E-05,0.002760142,10.7741,3.94E-02,47.62,2,2,4
1000,1.84278,0.014052901,-412.05,1.21E+00,105.6963524,-289.98,1.21E-03,0.186834709,6.46651,6.11E-01,47.62,2,2,4
400,0.85,1.450474172,-206.81,1.18E-03,145.0474172,-206.81,2.95E-06,8.88E-05,13.2843,1683.85,47.62,2,2,4
700,0.61426,0.008336086,-204.62,3.52E-01,145.0474172,-206.81,5.02E-04,0.039095209,8.99308,1.06E+00,47.62,2,2,4
1000,3.04205,0.003225455,-229.87,1.64E+00,145.0474172,-206.81,1.64E-03,0.302205857,5.42075,3.49E+00,47.62,2,2,4
400,0.85,0.402540888,-362.53,1.31E-02,40.25408877,-362.53,3.27E-05,0.001042084,12.5327,1683.85,47.62,2,2,4
700,2.22303,0.010569514,-434.32,1.25E+00,40.25408877,-362.53,1.78E-03,0.13499319,9.25454,8.51E-01,47.62,2,2,4
1000,5.41133,0.005437447,-443.73,3.62E+00,40.25408877,-362.53,3.62E-03,0.544835324,6.64626,2.03E+00,47.62,2,2,4
300,0.85,0.00123823,-28.21,1.93E-02,0.00119,-31.41,6.42E-05,0.00625094,3.0834,8.08E+02,1066.2,20,4,80
400,0.85,0.00119115,-31.41,3.31E-02,0.00119,-31.41,8.28E-05,0.010430437,3.1764,8.40E+02,1066.2,20,4,80
700,0.85,0.00105367,-45.45,1.37E-01,0.00119,-31.41,1.96E-04,0.039515646,3.4727,9.49E+02,1066.2,20,4,80
1000,0.85,0.00117232,-66.47,3.77E-01,0.00119,-31.41,3.77E-04,0.104674177,3.601,8.53E+02,1066.2,20,4,80
300,0.85,6.46E-05,-25.74,3.08E-01,0.0001,-25.21,1.03E-03,0.037628248,8.177,1.55E+04,883.29,18,4,72
400,0.85,9.79E-05,-25.21,2.60E-01,0.0001,-25.21,6.49E-04,0.033229299,7.817,1.02E+04,883.29,18,4,72
700,0.85,0.00020161,-27.03,2.54E-01,0.0001,-25.21,3.62E-04,0.036878464,6.8797,4.96E+03,883.29,18,4,72
1000,0.85,0.000304651,-33.86,3.76E-01,0.0001,-25.21,3.76E-04,0.059798731,6.2948,3.28E+03,883.29,18,4,72
300,0.85,0.0725764,217.6,1.96E-02,23.73,-50.67,6.52E-05,0.20,4.22,1.38E+01,338.06,4,7,28
300,0.85,0.0032,130,1.58E-01,23.73,-50.67,5.28E-04,0.20,4.22,3.13E+02,188.19,2,7,14
300,0.85,12.61,200,9.52E-05,23.73,-50.67,3.17E-07,0.20,4.22,7.93E-02,189.68,2,7,14
300,0.85,0.0039,20,3.08E-03,23.73,-50.67,1.03E-05,0.20,4.22,2.56E+02,188.56,2,7,14
300,0.85,0.0035,5,2.14E-04,23.73,-50.67,7.14E-07,0.20,4.22,2.86E+02,188.45,2,7,14
300,0.85,0.0032,6.3,3.72E-04,23.73,-50.67,1.24E-06,0.20,4.22,3.13E+02,188.41,2,7,14
300,0.85,0.00818141,149.91,8.24E-02,23.73,-50.67,2.75E-04,0.20,4.22,1.22E+02,380.25,4,7,28
400,0.85,0.0107975,140,7.26E-02,23.73,-50.67,1.82E-04,0.20,4.22,9.26E+01,380.25,4,7,28
700,0.85,0.0158385,120,6.36E-02,23.73,-50.67,9.09E-05,0.20,4.22,6.31E+01,380.25,4,7,28
1000,0.85,0.0191756,100,5.22E-02,23.73,-50.67,5.22E-05,0.20,4.22,5.22E+01,380.25,4,7,28
300,0.85,0.00280286,54.72,3.21E-02,23.73,-50.67,1.07E-04,0.20,4.22,3.57E+02,378.4,4,7,28
400,0.85,0.00381517,50,2.62E-02,23.73,-50.67,6.55E-05,0.20,4.22,2.62E+02,378.4,4,7,28
700,0.85,0.00608328,40,1.84E-02,23.73,-50.67,2.63E-05,0.20,4.22,1.64E+02,378.4,4,7,28
1000,0.85,0.00818462,30,1.10E-02,23.73,-50.67,1.10E-05,0.20,4.22,1.22E+02,378.4,4,7,28
300,0.85,0.00112686,25,1.66E-02,23.73,-50.67,5.55E-05,0.20,4.22,8.87E+02,190.07,2,7,14
400,0.85,0.00148762,20,1.08E-02,23.73,-50.67,2.69E-05,0.20,4.22,6.72E+02,190.07,2,7,14
700,0.85,0.00253868,2,1.33E-04,23.73,-50.67,1.91E-07,0.20,4.22,3.94E+02,190.07,2,7,14
1000,0.85,0.00376365,1,2.66E-05,23.73,-50.67,2.66E-08,0.20,4.22,2.66E+02,190.07,2,7,14
300,0.85,0.00047135,0.5,1.59E-05,23.73,-50.67,5.30E-08,0.20,4.22,2.12E+03,190.07,2,7,14
400,0.85,0.000676029,0.1,5.92E-07,23.73,-50.67,1.48E-09,0.20,4.22,1.48E+03,190.07,2,7,14
700,0.85,0.00136142,0.1,5.14E-07,23.73,-50.67,7.35E-10,0.20,4.22,7.35E+02,190.07,2,7,14
1000,0.85,0.00222519,0.1,4.49E-07,23.73,-50.67,4.49E-10,0.20,4.22,4.49E+02,190.07,2,7,14
300,0.85,0.014,215,9.91E-02,0.016,240,3.30E-04,0.20,4.22,7.14E+01,581.29,2,14,28
400,0.85,0.016,240,1.44E-01,0.016,240,3.60E-04,0.20,4.22,6.25E+01,581.29,2,14,28
700,0.85,0.02,295,3.05E-01,0.016,240,4.35E-04,0.20,4.22,5.00E+01,581.29,2,14,28
300,0.85,1886.12,-175.031,4.87E-07,85.3104,-147,1.62E-09,0.20,4.22,5.30E-04,555.64,8,7,56
400,0.85,85.3104,-147,1.01E-05,85.3104,-147,2.53E-08,0.20,4.22,1.17E-02,555.64,8,7,56
700,0.85,1.69095,-100.68,4.20E-04,85.3104,-147,5.99E-07,0.20,4.22,5.91E-01,555.64,8,7,56
1000,0.85,0.359618,-84.81,2.00E-03,85.3104,-147,2.00E-06,0.20,4.22,2.78E+00,555.64,8,7,56
300,0.85,0.107079,277.076,2.15E-02,0.0699656,299.003,7.17E-05,0.20,4.22,9.34E+00,136.95,3,4,12
400,0.85,0.0699656,299.003,5.11E-02,0.0699656,299.003,1.28E-04,0.20,4.22,1.43E+01,136.95,3,4,12
700,0.85,0.0557025,321.429,1.30E-01,0.0699656,299.003,1.85E-04,0.20,4.22,1.80E+01,136.95,3,4,12
1000,0.85,0.0532197,324.917,1.98E-01,0.0699656,299.003,1.98E-04,0.20,4.22,1.88E+01,136.95,3,4,12
300,0.85,0.00179525,97.6744,1.59E-01,0.001937,115.116,5.31E-04,0.20,4.22,5.57E+02,140.56,3,4,12
400,0.85,0.001937,115.116,2.74E-01,0.001937,115.116,6.84E-04,0.20,4.22,5.16E+02,140.56,3,4,12
700,0.85,0.00319853,145.515,4.63E-01,0.001937,115.116,6.62E-04,0.20,4.22,3.13E+02,140.56,3,4,12
1000,0.85,0.00407907,167.94,6.91E-01,0.001937,115.116,6.91E-04,0.20,4.22,2.45E+02,140.56,3,4,12
300,0.85,0.196666,300,1.37E-02,0.119099,321.429,4.58E-05,0.20,4.22,5.08E+00,131.12,3,4,12
400,0.85,0.119099,321.429,3.47E-02,0.119099,321.429,8.67E-05,0.20,4.22,8.40E+00,131.12,3,4,12
700,0.85,0.0865553,351.827,1.00E-01,0.119099,321.429,1.43E-04,0.20,4.22,1.16E+01,131.12,3,4,12
1000,0.85,0.072125,354.817,1.75E-01,0.119099,321.429,1.75E-04,0.20,4.22,1.39E+01,131.12,3,4,12
300,0.85,1402.658318,97.9094,2.05E-07,809.8083993,107.578,6.83E-10,0.20,4.22,7.13E-04,422.94,8,4,32
400,0.85,809.8083993,107.578,5.72E-07,809.8083993,107.578,1.43E-09,0.20,4.22,1.23E-03,422.94,8,4,32
700,0.85,108.4818721,124.826,1.01E-05,809.8083993,107.578,1.44E-08,0.20,4.22,9.22E-03,422.94,8,4,32
1000,0.85,64.85589021,160.801,3.99E-05,809.8083993,107.578,3.99E-08,0.20,4.22,1.54E-02,422.94,8,4,32
300,0.85,1246.791071,92.5958,2.06E-07,707.6990581,97.0383,6.88E-10,0.20,4.22,8.02E-04,422.94,8,4,32
400,0.85,707.6990581,97.0383,5.32E-07,707.6990581,97.0383,1.33E-09,0.20,4.22,1.41E-03,422.94,8,4,32
700,0.85,86.02520539,113.502,1.05E-05,707.6990581,97.0383,1.50E-08,0.20,4.22,1.16E-02,422.94,8,4,32
1000,0.85,36.42867811,113.937,3.56E-05,707.6990581,97.0383,3.56E-08,0.20,4.22,2.75E-02,422.94,8,4,32
300,0.85,114.491013,103.223,2.79E-06,99.41840235,106.01,9.31E-09,0.20,4.22,8.73E-03,422.94,8,4,32
400,0.85,99.41840235,106.01,4.52E-06,99.41840235,106.01,1.13E-08,0.20,4.22,1.01E-02,422.94,8,4,32
700,0.85,20.23705688,120.122,4.99E-05,99.41840235,106.01,7.13E-08,0.20,4.22,4.94E-02,422.94,8,4,32
1000,0.85,15.89233894,125.61,9.93E-05,99.41840235,106.01,9.93E-08,0.20,4.22,6.29E-02,422.94,8,4,32
300,0.85,561.0255547,103.833,5.77E-07,175.7080154,105.575,1.92E-09,0.20,4.22,1.78E-03,422.94,8,4,32
400,0.85,175.7080154,105.575,2.54E-06,175.7080154,105.575,6.34E-09,0.20,4.22,5.69E-03,422.94,8,4,32
700,0.85,52.08251954,121.603,1.99E-05,175.7080154,105.575,2.84E-08,0.20,4.22,1.92E-02,422.94,8,4,32
1000,0.85,35.73279019,124.216,4.32E-05,175.7080154,105.575,4.32E-08,0.20,4.22,2.80E-02,422.94,8,4,32
300,0.1,0.302535,-650.91,4.20E-02,0.24169,-587.185,1.40E-04,0.011795412,3.56184,3.31E+00,206.97,4,5,20
400,0.189638,0.24169,-587.185,5.71E-02,0.24169,-587.185,1.43E-04,0.018604483,3.06714,4.14E+00,206.97,4,5,20
700,0.386026,0.103099,-362.325,8.91E-02,0.24169,-587.185,1.27E-04,0.041301192,2.15813,9.70E+00,206.97,4,5,20
1000,0.457147,8.44E-02,-282.213,9.44E-02,0.24169,-587.185,9.44E-05,0.0457147,2.06537,1.19E+01,206.97,4,5,20
300,0.882422,0.00919163,-109.244,3.90E-02,0.0106095,-124.72,1.30E-04,0.026137018,1.49028,1.09E+02,206.97,4,5,20
400,0.944579,0.0106095,-124.72,5.86E-02,0.0106095,-124.72,1.47E-04,0.039848239,1.47173,9.43E+01,206.97,4,5,20
700,1.1113,0.0155708,-168.417,1.28E-01,0.0106095,-124.72,1.82E-04,0.079617332,1.60159,6.42E+01,206.97,4,5,20
1000,2.06923,0.0186642,-244.888,3.21E-01,0.0106095,-124.72,3.21E-04,0.199082397,1.61396,5.36E+01,206.97,4,5,20
300,0.519785,0.00389918,-52.8011,2.15E-02,0.0043831,-60.084,7.15E-05,0.012433026,1.72527,2.56E+02,207.52,4,5,20
400,0.598425,0.0043831,-60.084,3.29E-02,0.0043831,-60.084,8.24E-05,0.020104787,1.63869,2.28E+02,207.52,4,5,20
700,0.837674,0.00614631,-84.6639,8.16E-02,0.0043831,-60.084,1.17E-04,0.050580993,1.61396,1.63E+02,207.52,4,5,20
1000,1.37033,0.00782461,-128.361,2.11E-01,0.0043831,-60.084,2.11E-04,0.133018362,1.58304,1.28E+02,207.52,4,5,20
300,0.335165,0.00336145,-38.2353,1.30E-02,0.00359065,-49.1597,4.35E-05,0.007932122,1.64488,2.97E+02,207.52,4,5,20
400,0.35777,0.00359065,-49.1597,2.69E-02,0.00359065,-49.1597,6.73E-05,0.017140379,1.57067,2.79E+02,207.52,4,5,20
700,0.356355,0.00481615,-60.9944,5.41E-02,0.00359065,-49.1597,7.72E-05,0.032386419,1.66961,2.08E+02,207.52,4,5,20
1000,1.2022,0.00595672,-101.05,1.71E-01,0.00359065,-49.1597,1.71E-04,0.101172463,1.69435,1.68E+02,207.52,4,5,20
300,0.85,0.0152199,-9.10364,1.63E-04,0.0120812,-20.028,5.45E-07,0.20,4.22,6.57E+01,207.52,4,5,20
400,0.85,0.0120812,-20.028,1.33E-03,0.0120812,-20.028,3.32E-06,0.20,4.22,8.28E+01,207.52,4,5,20
700,0.85,0.0106181,-50.9804,1.71E-02,0.0120812,-20.028,2.45E-05,0.20,4.22,9.42E+01,207.52,4,5,20
1000,0.85,0.0110794,-25.4902,5.86E-03,0.0120812,-20.028,5.86E-06,0.20,4.22,9.03E+01,207.52,4,5,20
300,0.85,0.0135192,-156.078,5.41E-02,0.0149487,-172.722,1.80E-04,0.005590487,9.6695,7.40E+01,1035.51,16,5,80
400,0.85,0.0149487,-172.722,7.98E-02,0.0149487,-172.722,2.00E-04,0.011785614,6.77329,6.69E+01,1035.51,16,5,80
700,0.85,0.0194842,-202.219,1.47E-01,0.0149487,-172.722,2.10E-04,0.038004955,3.86562,5.13E+01,1035.51,16,5,80
1000,0.85,0.0229674,-222.736,2.16E-01,0.0149487,-172.722,2.16E-04,0.072577584,2.97623,4.35E+01,1035.51,16,5,80
300,0.85,0.00210578,-88.5671,1.12E-01,0.0023498,-105.832,3.73E-04,0.012204602,9.1565,4.75E+02,1035.51,16,5,80
400,0.85,0.0023498,-105.832,1.91E-01,0.0023498,-105.832,4.77E-04,0.027820846,6.85319,4.26E+02,1035.51,16,5,80
700,0.85,0.00337115,-146.168,4.44E-01,0.0023498,-105.832,6.34E-04,0.113093689,3.92271,2.97E+02,1035.51,16,5,80
1000,0.85,0.0044955,-177.832,7.03E-01,0.0023498,-105.832,7.03E-04,0.240031089,2.93072,2.22E+02,1035.51,16,5,80
300,0.85,0.000836795,-50.4768,9.13E-02,0.000942337,-62.4767,3.04E-04,0.009402057,9.71545,1.20E+03,1035.51,16,5,80
400,0.85,0.000942337,-62.4767,1.66E-01,0.000942337,-62.4767,4.14E-04,0.022990066,7.20692,1.06E+03,1035.51,16,5,80
700,0.85,0.00129155,-94.1419,4.80E-01,0.000942337,-62.4767,6.86E-04,0.104779859,4.58432,7.74E+02,1035.51,16,5,80
1000,0.85,0.00168341,-119.305,8.46E-01,0.000942337,-62.4767,8.46E-04,0.242294205,3.48967,5.94E+02,1035.51,16,5,80
300,0.85,0.000722981,-46.7607,9.07E-02,0.000817897,-56.5928,3.02E-04,0.009632278,9.41949,1.38E+03,1035.51,16,5,80
400,0.85,0.000817897,-56.5928,1.57E-01,0.000817897,-56.5928,3.92E-04,0.022224564,7.04775,1.22E+03,1035.51,16,5,80
700,0.85,0.00113128,-83.3032,4.29E-01,0.000817897,-56.5928,6.13E-04,0.092961144,4.61902,8.84E+02,1035.51,16,5,80
1000,0.85,0.00143465,-108.464,8.20E-01,0.000817897,-56.5928,8.20E-04,0.231919011,3.53581,6.97E+02,1035.51,16,5,80
300,0.85,0.000896151,-50.7871,8.63E-02,0.000995442,-60.6186,2.88E-04,0.00973701,8.86791,1.12E+03,1035.51,16,5,80
400,0.85,0.000995442,-60.6186,1.48E-01,0.000995442,-60.6186,3.69E-04,0.02235983,6.6037,1.00E+03,1035.51,16,5,80
700,0.85,0.00139586,-88.5677,3.93E-01,0.000995442,-60.6186,5.62E-04,0.100865679,3.89999,7.16E+02,1035.51,16,5,80
1000,0.85,0.00177828,-114.967,7.43E-01,0.000995442,-60.6186,7.43E-04,0.242663763,3.06296,5.62E+02,1035.51,16,5,80
300,0.85,0.00132139,-53.2639,6.44E-02,0.00143465,-65.5729,2.15E-04,0.00940658,6.84738,7.57E+02,1035.51,16,5,80
400,0.85,0.00143465,-65.5729,1.20E-01,0.00143465,-65.5729,3.00E-04,0.023546412,5.09141,6.97E+02,1035.51,16,5,80
700,0.85,0.0017302,-93.2129,3.52E-01,0.00143465,-65.5729,5.02E-04,0.108354634,3.24419,5.78E+02,1035.51,16,5,80
1000,0.85,0.00208663,-117.444,6.61E-01,0.00143465,-65.5729,6.61E-04,0.262891577,2.51443,4.79E+02,1035.51,16,5,80
300,0.85,0.00287298,-52.3343,2.86E-02,0.0027953,-64.0245,9.53E-05,0.008831211,3.23848,3.48E+02,1035.51,16,5,80
400,0.85,0.0027953,-64.0245,5.87E-02,0.0027953,-64.0245,1.47E-04,0.022462541,2.61135,3.58E+02,1035.51,16,5,80
700,0.85,0.00243728,-86.4,2.14E-01,0.0027953,-64.0245,3.06E-04,0.116776249,1.83597,4.10E+02,1035.51,16,5,80
1000,0.85,0.00267047,-110.012,4.53E-01,0.0027953,-64.0245,4.53E-04,0.277913956,1.63073,3.74E+02,1035.51,16,5,80
300,0.85,7.717915156,-390,5.91E-04,23.73,-50.67,1.97E-06,0.000314602,1.87927,1.30E-01,222.73,4,5,20
400,0.85,0.38388399,140.3,2.05E-03,23.73,-50.67,5.13E-06,0.20,4.22,2.61E+00,222.73,4,5,20
700,0.85,0.001358313,28.76,4.26E-02,23.73,-50.67,6.09E-05,0.20,4.22,7.36E+02,222.73,4,5,20
1000,0.85,0.000984011,15.7,2.51E-02,23.73,-50.67,2.51E-05,0.20,4.22,1.02E+03,222.73,4,5,20
300,0.85,0.15703628,395,2.98E-02,23.73,-50.67,9.94E-05,0.016495189,1.807,6.37E+00,222.73,4,5,20
400,0.85,0.074131024,304,4.99E-02,23.73,-50.67,1.25E-04,0.20,4.22,1.35E+01,222.73,4,5,20
700,0.85,0.001230269,32.48,6.00E-02,23.73,-50.67,8.58E-05,0.20,4.22,8.13E+02,222.73,4,5,20
1000,0.85,0.000950605,18.56,3.62E-02,23.73,-50.67,3.62E-05,0.20,4.22,1.05E+03,222.73,4,5,20
300,0.85,0.069183097,330,4.72E-02,23.73,-50.67,1.57E-04,0.026234732,1.8,1.45E+01,222.73,4,5,20
400,0.85,0.033806484,243.5,7.02E-02,23.73,-50.67,1.75E-04,0.20,4.22,2.96E+01,222.73,4,5,20
700,0.85,0.001096478,28.76,5.28E-02,23.73,-50.67,7.54E-05,0.20,4.22,9.12E+02,222.73,4,5,20
1000,0.85,0.00091622,17.6,3.38E-02,23.73,-50.67,3.38E-05,0.20,4.22,1.09E+03,222.73,4,5,20
300,0.85,0.015958791,214.7,8.67E-02,23.73,-50.67,2.89E-04,0.048140749,1.8,6.27E+01,222.95,4,5,20
400,0.85,0.007277798,129,9.15E-02,23.73,-50.67,2.29E-04,0.20,4.22,1.37E+02,222.95,4,5,20
700,0.85,0.000949511,25.04,4.62E-02,23.73,-50.67,6.60E-05,0.20,4.22,1.05E+03,222.95,4,5,20
1000,0.85,0.000831764,14.8,2.63E-02,23.73,-50.67,2.63E-05,0.20,4.22,1.20E+03,222.95,4,5,20
300,0.85,0.000467735,21.32,2.92E-02,23.73,-50.67,9.72E-05,0.00788839,3.69579,2.14E+03,224.2,4,5,20
400,0.85,0.000446684,17.6,2.77E-02,23.73,-50.67,6.93E-05,0.20,4.22,2.24E+03,224.2,4,5,20
700,0.85,0.000498884,10.17,1.45E-02,23.73,-50.67,2.07E-05,0.20,4.22,2.00E+03,224.2,4,5,20
1000,0.85,0.000597035,5.52,5.10E-03,23.73,-50.67,5.10E-06,0.20,4.22,1.67E+03,224.2,4,5,20
300,0.85,0.00203961,56.4516,4.69E-02,23.73,-50.67,1.56E-04,0.055801689,0.84,4.90E+02,6058.93,8,26,208
400,0.85,0.00232311,68.7334,8.13E-02,23.73,-50.67,2.03E-04,0.096379224,0.844,4.30E+02,6058.93,8,26,208
700,0.85,0.0034632,117.242,2.78E-01,23.73,-50.67,3.97E-04,0.340484029,0.816,2.89E+02,6058.93,8,26,208
1000,0.85,0.00457917,164.143,5.88E-01,23.73,-50.67,5.88E-04,0.822909213,0.715,2.18E+02,6058.93,8,26,208
300,0.85,0.00210707,110.866,1.75E-01,23.73,-50.67,5.83E-04,0.173267726,1.01,4.75E+02,1610.64,9,7,63
400,0.85,0.00258969,146.015,3.29E-01,23.73,-50.67,8.23E-04,0.496100779,0.6638,3.86E+02,1610.64,9,7,63
700,0.85,0.00332511,205.872,8.92E-01,23.73,-50.67,1.27E-03,1.286961011,0.6933,3.01E+02,1610.64,9,7,63
300,0.85,3.91E-03,126,1.22E-01,23.73,-50.67,4.06E-04,0.20,4.22,2.56E+02,747,2,17,34
400,0.85,3.85E-03,154,2.46E-01,23.73,-50.67,6.16E-04,0.20,4.22,2.60E+02,747,2,17,34
700,0.85,3.25E-03,166,5.94E-01,23.73,-50.67,8.48E-04,0.20,4.22,3.08E+02,747,2,17,34
300,0.85,1.03E-03,101,2.97E-01,23.73,-50.67,9.90E-04,0.15555838,1.91,9.71E+02,756.81,2,17,34
400,0.85,1.12E-03,127,5.76E-01,23.73,-50.67,1.44E-03,0.290927128,1.98,8.93E+02,756.81,2,17,34
700,0.85,1.29E-03,176,1.68E+00,23.73,-50.67,2.40E-03,0.812013631,2.07,7.75E+02,756.81,2,17,34
