id,TK,SeebeckuVK,kappaZT,Resist.400K,Seebeck400K,PfWK2m,ZT,kappaWmK,CellVolumeA3,FormulaUnitsperCell
1037,700,-98.5,3.14E-02,23.73,-50.67,4.49E-05,0.005984998,5.25,189.28,2
1038,1000,-82.67,2.98E-02,23.73,-50.67,2.98E-05,0.007630344,3.902,189.28,2
1039,300,-343.22,1.86E-02,23.73,-50.67,6.21E-05,0.001088945,17.1,189.28,2
1040,400,-294.38,2.47E-02,23.73,-50.67,6.17E-05,0.002221923,11.1,189.28,2
1041,700,-175.63,2.83E-02,23.73,-50.67,4.04E-05,0.005420334,5.22,189.28,2
1042,1000,-63.68,1.09E-02,23.73,-50.67,1.09E-05,0.003009932,3.63,189.28,2
1043,300,-45,1.15E-01,23.73,-50.67,3.82E-04,0.047719668,2.402,893.06,4
1044,400,-46.6,1.47E-01,23.73,-50.67,3.69E-04,0.057160606,2.58,893.06,4
1045,700,-67.6,3.99E-01,23.73,-50.67,5.70E-04,0.146638551,2.72,893.06,4
1046,1000,-87.8,7.48E-01,23.73,-50.67,7.48E-04,0.281365063,2.66,893.06,4
1047,300,-53,7.66E-02,23.73,-50.67,2.55E-04,0.037370288,2.05,893.06,4
1048,400,-58,9.82E-02,23.73,-50.67,2.46E-04,0.047679116,2.06,893.06,4
1049,700,-87.2,2.85E-01,23.73,-50.67,4.07E-04,0.143755415,1.98,893.06,4
1050,1000,-117.3,6.12E-01,23.73,-50.67,6.12E-04,0.330553514,1.85,893.06,4
1051,300,-91,1.38E-02,23.73,-50.67,4.60E-05,0.009388889,1.47,893.06,4
1052,400,-89.9,2.39E-01,23.73,-50.67,5.99E-04,0.176078649,1.36,893.06,4
1053,700,-159.3,2.46E-01,23.73,-50.67,3.52E-04,0.210575803,1.17,893.06,4
1054,1000,-221.2,7.12E-01,23.73,-50.67,7.12E-04,0.721599719,0.987,893.06,4
1055,300,-71,2.13E-02,23.73,-50.67,7.10E-05,0.010828673,1.967,893.06,4
1056,400,-69.5,3.61E-02,23.73,-50.67,9.03E-05,0.019734436,1.83,893.06,4
1057,700,-130.6,2.73E-01,23.73,-50.67,3.90E-04,0.175137182,1.56,893.06,4
1058,1000,-185.2,6.51E-01,23.73,-50.67,6.51E-04,0.475062535,1.37,893.06,4
1059,300,-40.87,8.21E-02,23.73,-50.67,2.74E-04,0.03339378,2.46,893.06,4
1060,400,-41.6,1.13E-01,23.73,-50.67,2.84E-04,0.043562128,2.605,893.06,4
1061,700,-57.6,2.90E-01,23.73,-50.67,4.14E-04,0.101964806,2.84,893.06,4
1062,1000,-74.7,5.73E-01,23.73,-50.67,5.73E-04,0.199618299,2.87,893.06,4
1063,300,-41,1.87E-02,23.73,-50.67,6.23E-05,0.015062724,1.24,893.06,4
