id,T(K),Z*10^-4reported,Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK)
454,300,0.85,-113,6.41E-01,23.73,-50.67,2.14E-03,0.075362975,8.5
455,400,0.85,-137,1.20E+00,23.73,-50.67,3.01E-03,0.151338494,7.95
456,300,0.85,-92,3.29E-01,23.73,-50.67,1.10E-03,0.039441739,8.35
457,400,0.85,-109,6.03E-01,23.73,-50.67,1.51E-03,0.092641543,6.51
458,300,0.85,-119.188,3.47E-01,23.73,-50.67,1.16E-03,0.050251597,6.90444
459,400,0.85,-137.005,5.31E-01,23.73,-50.67,1.33E-03,0.066676394,7.9584
460,700,0.85,-168.074,9.74E-01,23.73,-50.67,1.39E-03,0.099979863,9.74108
461,1000,0.85,-177.53,1.22E+00,23.73,-50.67,1.22E-03,0.122572444,9.92664
462,300,0.85,-163.441,5.83E-01,23.73,-50.67,1.94E-03,0.084685557,6.88672
463,400,0.85,-185.373,8.43E-01,23.73,-50.67,2.11E-03,0.120287894,7.00955
464,700,0.85,-236.772,1.68E+00,23.73,-50.67,2.40E-03,0.232283937,7.2322
465,1000,0.85,-250.86,2.11E+00,23.73,-50.67,2.11E-03,0.27533795,7.6719
466,300,0.85,-130.766,4.62E-01,23.73,-50.67,1.54E-03,0.07963356,5.80227
467,400,0.85,-151.928,7.12E-01,23.73,-50.67,1.78E-03,0.122115456,5.83
468,700,0.85,-189.172,1.36E+00,23.73,-50.67,1.94E-03,0.218130295,6.23152
469,1000,0.85,-199.4,1.64E+00,23.73,-50.67,1.64E-03,0.242232068,6.77258
470,300,0.85,-8.13E+01,1.23E+00,23.73,-50.67,4.11E-03,0.20,4.22
471,400,0.85,-6.93E+01,1.24E+00,23.73,-50.67,3.09E-03,0.20,4.22
472,300,0.85,-8.08E+01,1.07E+00,23.73,-50.67,3.58E-03,0.20,4.22
473,400,0.85,-6.85E+01,1.04E+00,23.73,-50.67,2.60E-03,0.20,4.22
474,300,0.85,-8.53E+01,1.27E+00,23.73,-50.67,4.23E-03,0.20,4.22
475,400,0.85,-7.29E+01,1.26E+00,23.73,-50.67,3.16E-03,0.20,4.22
476,300,0.85,-8.13E+01,7.75E-01,23.73,-50.67,2.58E-03,0.20,4.22
477,400,0.85,-6.91E+01,6.53E-01,23.73,-50.67,1.63E-03,0.20,4.22
478,300,0.85,-7.52E+01,6.54E-01,23.73,-50.67,2.18E-03,0.20,4.22
479,400,0.85,-6.16E+01,5.32E-01,23.73,-50.67,1.33E-03,0.20,4.22
480,700,0.85,8.02541,5.05E-05,23.73,-50.67,7.21E-08,0.20,4.22
481,1000,0.85,-20.1644,1.00E-03,23.73,-50.67,1.00E-06,0.20,4.22
482,300,0.85,32.5598,6.20E-05,23.73,-50.67,2.07E-07,0.20,4.22
483,400,0.85,9.29006,2.00E-05,23.73,-50.67,5.00E-08,0.20,4.22
484,700,0.85,-15.3459,3.29E-04,23.73,-50.67,4.70E-07,0.20,4.22
485,1000,0.85,-24.3591,2.11E-03,23.73,-50.67,2.11E-06,0.20,4.22
486,300,0.85,-13.1349,2.09E-05,23.73,-50.67,6.97E-08,0.20,4.22
487,400,0.85,-19.922,1.57E-04,23.73,-50.67,3.93E-07,0.20,4.22
488,700,0.85,-27.3305,1.60E-03,23.73,-50.67,2.29E-06,0.20,4.22
489,1000,0.85,-30.2012,4.47E-03,23.73,-50.67,4.47E-06,0.20,4.22
490,300,0.85,-55.6808,5.40E-08,23.73,-50.67,1.80E-10,0.20,4.22
491,400,0.85,-45.9919,1.14E-06,23.73,-50.67,2.85E-09,0.20,4.22
492,700,0.85,-30.1768,5.46E-05,23.73,-50.67,7.80E-08,0.20,4.22
493,1000,0.85,-19.4145,1.44E-04,23.73,-50.67,1.44E-07,0.20,4.22
494,300,0.85,-22.2738,2.69E-04,23.73,-50.67,8.97E-07,0.20,4.22
495,400,0.85,-22.7685,6.96E-04,23.73,-50.67,1.74E-06,0.20,4.22
496,700,0.85,-23.4352,2.39E-03,23.73,-50.67,3.41E-06,0.20,4.22
497,1000,0.85,-23.7587,4.43E-03,23.73,-50.67,4.43E-06,0.20,4.22
498,300,0.85,4.08735,7.05E-04,23.73,-50.67,2.35E-06,0.000184926,3.81187
499,400,0.85,7.50989,3.13E-03,23.73,-50.67,7.83E-06,0.00080099,3.91172
500,700,0.85,16.5599,2.68E-02,23.73,-50.67,3.84E-05,0.006030526,4.45197
501,1000,0.85,23.9118,7.91E-02,23.73,-50.67,7.91E-05,0.014946413,5.29114
502,300,0.85,3.34933,4.39E-04,23.73,-50.67,1.46E-06,0.000158231,2.77301
503,400,0.85,5.48011,1.53E-03,23.73,-50.67,3.84E-06,0.00049533,3.09729
504,700,0.85,13.9768,1.67E-02,23.73,-50.67,2.39E-05,0.004207081,3.97842
505,1000,0.85,21.1078,5.35E-02,23.73,-50.67,5.35E-05,0.011602871,4.60973
506,300,0.85,6.30124,1.39E-03,23.73,-50.67,4.63E-06,0.000654096,2.12496
507,400,0.85,8.06322,2.93E-03,23.73,-50.67,7.33E-06,0.001234787,2.37444
508,700,0.85,11.6892,1.01E-02,23.73,-50.67,1.44E-05,0.003449371,2.93114
509,1000,0.85,14.6136,2.14E-02,23.73,-50.67,2.14E-05,0.006182272,3.45435
510,300,0.85,138.814,2.32E-01,23.73,-50.67,7.74E-04,0.20,4.22
511,400,0.85,153.007,3.47E-01,23.73,-50.67,8.67E-04,0.035498382,9.76717
512,700,0.85,203.027,7.36E-01,23.73,-50.67,1.05E-03,0.073515711,10.0099
513,1000,0.85,265.993,1.28E+00,23.73,-50.67,1.28E-03,0.152467292,8.39186
514,300,0.85,-53.6,1.81E-02,23.73,-50.67,6.03E-05,0.004141796,4.37
515,400,0.85,-67.6,3.22E-02,23.73,-50.67,8.06E-05,0.008981679,3.59
516,700,0.85,-110.3,9.84E-02,23.73,-50.67,1.41E-04,0.039679604,2.48
517,1000,0.85,-167,2.09E-01,23.73,-50.67,2.09E-04,0.108941406,1.92
518,300,0.85,-42.4,2.90E-02,23.73,-50.67,9.67E-05,0.005849969,4.96
519,400,0.85,-57.16,6.01E-02,23.73,-50.67,1.50E-04,0.015454418,3.89
520,700,0.85,-98.3,1.58E-01,23.73,-50.67,2.25E-04,0.057941815,2.72
521,1000,0.85,-158,3.20E-01,23.73,-50.67,3.20E-04,0.149317383,2.14
522,300,0.85,-52.14,5.62E-02,23.73,-50.67,1.87E-04,0.005392806,10.42
523,400,0.85,-62.4,1.10E-01,23.73,-50.67,2.74E-04,0.012720218,8.62
524,700,0.85,-110,4.96E-01,23.73,-50.67,7.08E-04,0.100710366,4.92
525,1000,0.85,-164.9,1.06E+00,23.73,-50.67,1.06E-03,0.337735156,3.14
526,300,0.85,-167,1.19E-01,23.73,-50.67,3.98E-04,0.20,4.22
527,400,0.85,-188,3.19E-01,23.73,-50.67,7.98E-04,0.20,4.22
528,700,0.85,-251,4.81E-01,23.73,-50.67,6.87E-04,0.20,4.22
529,1000,0.85,-285,4.43E-01,23.73,-50.67,4.43E-04,0.20,4.22
530,300,0.85,-97.6,1.09E-01,23.73,-50.67,3.64E-04,0.018590979,5.88
531,400,0.85,-115,3.21E-01,23.73,-50.67,8.01E-04,0.060708962,5.28
532,700,0.85,-179,6.13E-01,23.73,-50.67,8.76E-04,0.160048392,3.83
533,1000,0.85,-221,6.16E-01,23.73,-50.67,6.16E-04,0.195461682,3.15
534,300,0.85,-53.7,1.41E-01,23.73,-50.67,4.70E-04,0.20,4.22
535,400,0.85,-64.7,3.14E-01,23.73,-50.67,7.84E-04,0.20,4.22
536,700,0.85,-113,7.50E-01,23.73,-50.67,1.07E-03,0.20,4.22
537,1000,0.85,-158,1.05E+00,23.73,-50.67,1.05E-03,0.20,4.22
538,300,0.85,-271.305,7.03E-02,23.73,-50.67,2.34E-04,0.011567378,6.0761
539,400,0.85,-295.891,4.17E-01,23.73,-50.67,1.04E-03,0.08031864,5.1951
540,700,0.85,-255.058,1.65E+00,23.73,-50.67,2.36E-03,0.362358717,4.5516
541,1000,0.85,-159.717,1.57E+00,23.73,-50.67,1.57E-03,0.243444308,6.4417
542,300,0.85,-177.319,8.17E-01,23.73,-50.67,2.72E-03,0.118473741,6.8928
543,400,0.85,-192.458,1.19E+00,23.73,-50.67,2.99E-03,0.203822375,5.8617
544,700,0.85,-211.295,2.45E+00,23.73,-50.67,3.50E-03,0.508510843,4.8184
545,1000,0.85,-172.594,2.61E+00,23.73,-50.67,2.61E-03,0.414473123,6.2917
546,300,0.85,-139.982,8.99E-01,23.73,-50.67,3.00E-03,0.121054378,7.4261
547,400,0.85,-158.575,1.38E+00,23.73,-50.67,3.46E-03,0.218564595,6.3283
548,700,0.85,-188.543,2.74E+00,23.73,-50.67,3.92E-03,0.539039134,5.085
549,1000,0.85,-174.312,3.16E+00,23.73,-50.67,3.16E-03,0.529517135,5.975
550,300,0.85,-96.2097,7.92E-01,23.73,-50.67,2.64E-03,0.113786134,6.9595
551,400,0.85,-110.94,1.24E+00,23.73,-50.67,3.11E-03,0.195021878,6.3783
552,700,0.85,-146.063,2.64E+00,23.73,-50.67,3.77E-03,0.50190418,5.2517
553,1000,0.85,-142.549,2.80E+00,23.73,-50.67,2.80E-03,0.509801867,5.4917
554,300,0.85,-353.714,1.19E-01,23.73,-50.67,3.98E-04,0.011778524,10.1428
555,400,0.85,-342.674,5.37E-01,23.73,-50.67,1.34E-03,0.064001427,8.395
556,700,0.85,-284.671,2.03E+00,23.73,-50.67,2.90E-03,0.338827093,5.9849
557,1000,0.85,-212.937,2.85E+00,23.73,-50.67,2.85E-03,0.42941353,6.6417
558,300,0.85,-170.876,8.00E-01,23.73,-50.67,2.67E-03,0.082668744,9.6761
559,400,0.85,-189.025,1.15E+00,23.73,-50.67,2.88E-03,0.140320851,8.2117
560,700,0.85,-228.446,2.71E+00,23.73,-50.67,3.87E-03,0.447571084,6.0517
561,1000,0.85,-210.789,3.66E+00,23.73,-50.67,3.66E-03,0.603500311,6.0617
562,300,0.85,-131.398,8.41E-01,23.73,-50.67,2.80E-03,0.083623065,10.0594
563,400,0.85,-148.254,1.27E+00,23.73,-50.67,3.18E-03,0.146507724,8.6783
564,700,0.85,-193.681,3.00E+00,23.73,-50.67,4.29E-03,0.465705367,6.4517
565,1000,0.85,-196.196,4.05E+00,23.73,-50.67,4.05E-03,0.651557074,6.2083
566,300,0.85,-78.184,5.44E-01,23.73,-50.67,1.81E-03,0.061376527,8.8594
567,400,0.85,-89.0283,8.70E-01,23.73,-50.67,2.18E-03,0.105970331,8.2117
