T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
400,0.85,0.000364333,-89.0283,8.70E-01,0.326225537,23.73,-50.67,2.18E-03,0.105970331,8.2117,0.61,0.326225537,0.326225537,2.74E+03,0.326225537,8.70E-01,226.87,4,3,12,18.90583333,300,7.93E+03,0.326225537,0.326225537
700,0.85,0.000473698,-129.304,2.47E+00,0.540710425,23.73,-50.67,3.53E-03,0.370509064,6.6684,0.61,0.540710425,0.540710425,2.11E+03,0.540710425,2.47E+00,226.87,4,3,12,18.90583333,300,1.67E+04,0.540710425,0.540710425
1000,0.85,0.000586514,-150.706,3.87E+00,0.666513226,23.73,-50.67,3.87E-03,0.620411774,6.2417,0.61,0.666513226,0.666513226,1.71E+03,0.666513226,3.87E+00,226.87,4,3,12,18.90583333,300,2.27E+04,0.666513226,0.666513226
300,0.85,0.045864406,50.1234,1.64E-03,0.91,23.73,-50.67,5.48E-06,0.20,4.22,0.61,0.91,0.91,2.18E+01,0.91,1.64E-03,147.11,2,6.77,13.54,10.8648449,300,2.51E+03,0.91,0.91
400,0.85,0.041030186,58.0016,3.28E-03,0.91,23.73,-50.67,8.20E-06,0.20,4.22,0.61,0.91,0.91,2.44E+01,0.91,3.28E-03,147.11,2,6.77,13.54,10.8648449,300,3.36E+03,0.91,0.91
700,0.85,0.028737366,84.2826,1.73E-02,0.91,23.73,-50.67,2.47E-05,0.20,4.22,0.61,0.91,0.91,3.48E+01,0.91,1.73E-02,147.11,2,6.77,13.54,10.8648449,300,7.10E+03,0.91,0.91
1000,0.85,0.026053065,118.607,5.40E-02,0.91,23.73,-50.67,5.40E-05,0.20,4.22,0.61,0.91,0.91,3.84E+01,0.91,5.40E-02,147.11,2,6.77,13.54,10.8648449,300,1.41E+04,0.91,0.91
300,0.85,0.04077738,62.1344,2.84E-03,0.91,23.73,-50.67,9.47E-06,0.20,4.22,0.61,0.91,0.91,2.45E+01,0.91,2.84E-03,147.11,2,6.77,13.54,10.8648449,300,3.86E+03,0.91,0.91
400,0.85,0.037831785,70.013,5.18E-03,0.91,23.73,-50.67,1.30E-05,0.20,4.22,0.61,0.91,0.91,2.64E+01,0.91,5.18E-03,147.11,2,6.77,13.54,10.8648449,300,4.90E+03,0.91,0.91
700,0.85,0.02510973,88.58,2.19E-02,0.91,23.73,-50.67,3.12E-05,0.20,4.22,0.61,0.91,0.91,3.98E+01,0.91,2.19E-02,147.11,2,6.77,13.54,10.8648449,300,7.85E+03,0.91,0.91
1000,0.85,0.019086118,123.896,8.04E-02,0.91,23.73,-50.67,8.04E-05,0.20,4.22,0.61,0.91,0.91,5.24E+01,0.91,8.04E-02,147.11,2,6.77,13.54,10.8648449,300,1.54E+04,0.91,0.91
300,0.85,0.059608255,59.7107,1.79E-03,0.91,23.73,-50.67,5.98E-06,0.20,4.22,0.61,0.91,0.91,1.68E+01,0.91,1.79E-03,147.11,2,6.77,13.54,10.8648449,300,3.57E+03,0.91,0.91
400,0.85,0.038675593,68.4692,4.85E-03,0.91,23.73,-50.67,1.21E-05,0.20,4.22,0.61,0.91,0.91,2.59E+01,0.91,4.85E-03,147.11,2,6.77,13.54,10.8648449,300,4.69E+03,0.91,0.91
700,0.85,0.020697677,92.437,2.89E-02,0.91,23.73,-50.67,4.13E-05,0.20,4.22,0.61,0.91,0.91,4.83E+01,0.91,2.89E-02,147.11,2,6.77,13.54,10.8648449,300,8.54E+03,0.91,0.91
1000,0.85,0.015040127,126.87,1.07E-01,0.91,23.73,-50.67,1.07E-04,0.20,4.22,0.61,0.91,0.91,6.65E+01,0.91,1.07E-01,147.11,2,6.77,13.54,10.8648449,300,1.61E+04,0.91,0.91
300,0.85,0.043094346,65.3296,2.97E-03,0.91,23.73,-50.67,9.90E-06,0.20,4.22,0.61,0.91,0.91,2.32E+01,0.91,2.97E-03,147.11,2,6.77,13.54,10.8648449,300,4.27E+03,0.91,0.91
400,0.85,0.03725033,73.0975,5.74E-03,0.91,23.73,-50.67,1.43E-05,0.20,4.22,0.61,0.91,0.91,2.68E+01,0.91,5.74E-03,147.11,2,6.77,13.54,10.8648449,300,5.34E+03,0.91,0.91
700,0.85,0.022970024,95.0781,2.75E-02,0.91,23.73,-50.67,3.94E-05,0.20,4.22,0.61,0.91,0.91,4.35E+01,0.91,2.75E-02,147.11,2,6.77,13.54,10.8648449,300,9.04E+03,0.91,0.91
1000,0.85,0.01759148,131.717,9.86E-02,0.91,23.73,-50.67,9.86E-05,0.20,4.22,0.61,0.91,0.91,5.68E+01,0.91,9.86E-02,147.11,2,6.77,13.54,10.8648449,300,1.73E+04,0.91,0.91
300,0.85,0.000508654,21.5075,2.73E-02,0.742412398,23.73,-50.67,9.09E-05,0.014074574,1.9384,0.61,0.742412398,0.742412398,1.97E+03,0.742412398,2.73E-02,269.41,1,15.3,15.3,17.60849673,300,4.63E+02,0.742412398,0.742412398
400,0.85,0.000551923,27.071,5.31E-02,0.839877756,23.73,-50.67,1.33E-04,0.025225214,2.1055,0.61,0.839877756,0.839877756,1.81E+03,0.839877756,5.31E-02,269.41,1,15.3,15.3,17.60849673,300,7.33E+02,0.839877756,0.839877756
700,0.85,0.000693269,51.22,2.65E-01,0.915699736,23.73,-50.67,3.78E-04,0.098456051,2.6905,0.61,0.915699736,0.915699736,1.44E+03,0.915699736,2.65E-01,269.41,1,15.3,15.3,17.60849673,300,2.62E+03,0.915699736,0.915699736
1000,0.85,0.000814423,69.9615,6.01E-01,0.938739187,23.73,-50.67,6.01E-04,0.188309984,3.1915,0.61,0.938739187,0.938739187,1.23E+03,0.938739187,6.01E-01,269.41,1,15.3,15.3,17.60849673,300,4.89E+03,0.938739187,0.938739187
300,0.85,0.000690385,27.2882,3.24E-02,0.740262488,23.73,-50.67,1.08E-04,0.022591533,1.4323,0.61,0.740262488,0.740262488,1.45E+03,0.740262488,3.24E-02,816.76,3,15,45,18.15022222,300,7.45E+02,0.740262488,0.740262488
400,0.85,0.000736538,30.9869,5.21E-02,0.814254838,23.73,-50.67,1.30E-04,0.032042529,1.6274,0.61,0.814254838,0.814254838,1.36E+03,0.814254838,5.21E-02,816.76,3,15,45,18.15022222,300,9.60E+02,0.814254838,0.814254838
700,0.85,0.000877885,47.6766,1.81E-01,0.826782733,23.73,-50.67,2.59E-04,0.077021527,2.3532,0.61,0.826782733,0.826782733,1.14E+03,0.826782733,1.81E-01,816.76,3,15,45,18.15022222,300,2.27E+03,0.826782733,0.826782733
1000,0.85,0.000961538,57.4673,3.43E-01,0.880438976,23.73,-50.67,3.43E-04,0.119165632,2.8822,0.61,0.880438976,0.880438976,1.04E+03,0.880438976,3.43E-01,816.76,3,15,45,18.15022222,300,3.30E+03,0.880438976,0.880438976
300,0.85,0.00065,22.6264,2.36E-02,0.756569598,23.73,-50.67,7.88E-05,0.015874132,1.4885,0.61,0.756569598,0.756569598,1.54E+03,0.756569598,2.36E-02,807.22,3,15,45,17.93822222,300,5.12E+02,0.756569598,0.756569598
400,0.85,0.000673077,28.1894,4.72E-02,0.782799059,23.73,-50.67,1.18E-04,0.025493657,1.8524,0.61,0.782799059,0.782799059,1.49E+03,0.782799059,4.72E-02,807.22,3,15,45,17.93822222,300,7.95E+02,0.782799059,0.782799059
700,0.85,0.000759615,45.2526,1.89E-01,0.810272961,23.73,-50.67,2.70E-04,0.068003082,2.775,0.61,0.810272961,0.810272961,1.32E+03,0.810272961,1.89E-01,807.22,3,15,45,17.93822222,300,2.05E+03,0.810272961,0.810272961
1000,0.85,0.000825962,53.9242,3.52E-01,0.864665904,23.73,-50.67,3.52E-04,0.103044764,3.4165,0.61,0.864665904,0.864665904,1.21E+03,0.864665904,3.52E-01,807.22,3,15,45,17.93822222,300,2.91E+03,0.864665904,0.864665904
300,0.85,0.000618269,8.26675,3.32E-03,0.690954581,23.73,-50.67,1.11E-05,0.001935215,1.7135,0.61,0.690954581,0.690954581,1.62E+03,0.690954581,3.32E-03,801.34,3,16,48,16.69458333,300,6.83E+01,0.690954581,0.690954581
400,0.85,0.000511538,9.16846,6.57E-03,0.818731396,23.73,-50.67,1.64E-05,0.002820619,2.3304,0.61,0.818731396,0.818731396,1.95E+03,0.818731396,6.57E-03,801.34,3,16,48,16.69458333,300,8.41E+01,0.818731396,0.818731396
700,0.85,0.000456731,20.8232,6.65E-02,0.88256848,23.73,-50.67,9.49E-05,0.015683881,4.2372,0.61,0.88256848,0.88256848,2.19E+03,0.88256848,6.65E-02,801.34,3,16,48,16.69458333,300,4.34E+02,0.88256848,0.88256848
1000,0.85,0.000468269,33.2249,2.36E-01,0.872051176,23.73,-50.67,2.36E-04,0.039452953,5.9752,0.61,0.872051176,0.872051176,2.14E+03,0.872051176,2.36E-01,801.34,3,16,48,16.69458333,300,1.10E+03,0.872051176,0.872051176
300,0.85,0.000831731,47.8006,8.24E-02,0.652935857,23.73,-50.67,2.75E-04,0.061143091,1.3479,0.61,0.652935857,0.652935857,1.20E+03,0.652935857,8.24E-02,853.58,6,9,54,15.80703704,300,2.28E+03,0.652935857,0.652935857
400,0.85,0.001025,61.5689,1.48E-01,0.665591446,23.73,-50.67,3.70E-04,0.103404799,1.4306,0.61,0.665591446,0.665591446,9.76E+02,0.665591446,1.48E-01,853.58,6,9,54,15.80703704,300,3.79E+03,0.665591446,0.665591446
700,0.85,0.00168846,105.3,4.60E-01,0.564871943,23.73,-50.67,6.57E-04,0.256694711,1.7908,0.61,0.564871943,0.564871943,5.92E+02,0.564871943,4.60E-01,853.58,6,9,54,15.80703704,300,1.11E+04,0.564871943,0.564871943
1000,0.85,0.00217885,132.993,8.12E-01,0.549326403,23.73,-50.67,8.12E-04,0.39819721,2.0386,0.61,0.549326403,0.549326403,4.59E+02,0.549326403,8.12E-01,853.58,6,9,54,15.80703704,300,1.77E+04,0.549326403,0.549326403
300,0.85,0.003705584,-82.6524,5.53E-02,0.055011199,23.73,-50.67,1.84E-04,0.015401826,3.5909,0.61,0.055011199,0.055011199,2.70E+02,0.055011199,5.53E-02,213.57,4,5,20,10.6785,300,6.83E+03,0.055011199,0.055011199
400,0.85,0.003996595,-100.786,1.02E-01,0.077607617,23.73,-50.67,2.54E-04,0.032308362,3.1467,0.61,0.077607617,0.077607617,2.50E+02,0.077607617,1.02E-01,213.57,4,5,20,10.6785,300,1.02E+04,0.077607617,0.077607617
700,0.85,0.004997002,-119.707,2.01E-01,0.154348593,23.73,-50.67,2.87E-04,0.090646689,2.2145,0.61,0.154348593,0.154348593,2.00E+02,0.154348593,2.01E-01,213.57,4,5,20,10.6785,300,1.43E+04,0.154348593,0.154348593
1000,0.85,0.005189333,-96.0071,1.78E-01,0.255346649,23.73,-50.67,1.78E-04,0.096459952,1.8414,0.61,0.255346649,0.255346649,1.93E+02,0.255346649,1.78E-01,213.57,4,5,20,10.6785,300,9.22E+03,0.255346649,0.255346649
300,0.85,0.007290755,-49.1829,9.95E-03,0.91,23.73,-50.67,3.32E-05,0.20,4.22,0.61,0.91,0.91,1.37E+02,0.91,9.95E-03,215.14,4,5,20,10.757,293,2.42E+03,0.91,0.91
400,0.85,0.006446871,-55.3822,1.90E-02,0.91,23.73,-50.67,4.76E-05,0.20,4.22,0.61,0.91,0.91,1.55E+02,0.91,1.90E-02,215.14,4,5,20,10.757,293,3.07E+03,0.91,0.91
700,0.85,0.006657302,-59.9632,3.78E-02,0.91,23.73,-50.67,5.40E-05,0.20,4.22,0.61,0.91,0.91,1.50E+02,0.91,3.78E-02,215.14,4,5,20,10.757,293,3.60E+03,0.91,0.91
1000,0.85,0.007892598,-80.4739,8.21E-02,0.91,23.73,-50.67,8.21E-05,0.20,4.22,0.61,0.91,0.91,1.27E+02,0.91,8.21E-02,215.14,4,5,20,10.757,293,6.48E+03,0.91,0.91
300,0.85,0.017755745,-86.6384,1.27E-02,0.91,23.73,-50.67,4.23E-05,0.20,4.22,0.61,0.91,0.91,5.63E+01,0.91,1.27E-02,215.14,4,5,20,10.757,293,7.51E+03,0.91,0.91
400,0.85,0.015133951,-91.2314,2.20E-02,0.91,23.73,-50.67,5.50E-05,0.20,4.22,0.61,0.91,0.91,6.61E+01,0.91,2.20E-02,215.14,4,5,20,10.757,293,8.32E+03,0.91,0.91
700,0.85,0.015859246,-102.587,4.65E-02,0.91,23.73,-50.67,6.64E-05,0.20,4.22,0.61,0.91,0.91,6.31E+01,0.91,4.65E-02,215.14,4,5,20,10.757,293,1.05E+04,0.91,0.91
1000,0.85,0.017598384,-107.567,6.57E-02,0.91,23.73,-50.67,6.57E-05,0.20,4.22,0.61,0.91,0.91,5.68E+01,0.91,6.57E-02,215.14,4,5,20,10.757,293,1.16E+04,0.91,0.91
300,0.85,0.008634907,-102.175,3.63E-02,0.91,23.73,-50.67,1.21E-04,0.20,4.22,0.61,0.91,0.91,1.16E+02,0.91,3.63E-02,210.39,4,5,20,10.5195,293,1.04E+04,0.91,0.91
400,0.85,0.007468985,-105.968,6.01E-02,0.91,23.73,-50.67,1.50E-04,0.20,4.22,0.61,0.91,0.91,1.34E+02,0.91,6.01E-02,210.39,4,5,20,10.5195,293,1.12E+04,0.91,0.91
700,0.85,0.00788457,-146.796,1.91E-01,0.91,23.73,-50.67,2.73E-04,0.20,4.22,0.61,0.91,0.91,1.27E+02,0.91,1.91E-01,210.39,4,5,20,10.5195,293,2.15E+04,0.91,0.91
1000,0.85,0.007834535,-122.707,1.92E-01,0.91,23.73,-50.67,1.92E-04,0.20,4.22,0.61,0.91,0.91,1.28E+02,0.91,1.92E-01,210.39,4,5,20,10.5195,293,1.51E+04,0.91,0.91
300,0.85,0.462038885,-69.9028,3.17E-04,0.91,23.73,-50.67,1.06E-06,0.20,4.22,0.61,0.91,0.91,2.16E+00,0.91,3.17E-04,210.39,4,5,20,10.5195,293,4.89E+03,0.91,0.91
400,0.85,0.115283742,-70.9189,1.75E-03,0.91,23.73,-50.67,4.36E-06,0.20,4.22,0.61,0.91,0.91,8.67E+00,0.91,1.75E-03,210.39,4,5,20,10.5195,293,5.03E+03,0.91,0.91
700,0.85,0.067066382,-81.0778,6.86E-03,0.91,23.73,-50.67,9.80E-06,0.20,4.22,0.61,0.91,0.91,1.49E+01,0.91,6.86E-03,210.39,4,5,20,10.5195,293,6.57E+03,0.91,0.91
1000,0.85,0.064231851,-70.1149,7.65E-03,0.91,23.73,-50.67,7.65E-06,0.20,4.22,0.61,0.91,0.91,1.56E+01,0.91,7.65E-03,210.39,4,5,20,10.5195,293,4.92E+03,0.91,0.91
300,0.85,0.007963495,-93.0096,3.26E-02,0.91,23.73,-50.67,1.09E-04,0.20,4.22,0.61,0.91,0.91,1.26E+02,0.91,3.26E-02,212.03,4,5,20,10.6015,293,8.65E+03,0.91,0.91
400,0.85,0.006990172,-98.403,5.54E-02,0.91,23.73,-50.67,1.39E-04,0.20,4.22,0.61,0.91,0.91,1.43E+02,0.91,5.54E-02,212.03,4,5,20,10.6015,293,9.68E+03,0.91,0.91
700,0.85,0.008549054,-116.934,1.12E-01,0.91,23.73,-50.67,1.60E-04,0.20,4.22,0.61,0.91,0.91,1.17E+02,0.91,1.12E-01,212.03,4,5,20,10.6015,293,1.37E+04,0.91,0.91
1000,0.85,0.010285695,-88.437,7.60E-02,0.91,23.73,-50.67,7.60E-05,0.20,4.22,0.61,0.91,0.91,9.72E+01,0.91,7.60E-02,212.03,4,5,20,10.6015,293,7.82E+03,0.91,0.91
300,0.85,0.044538272,-274.285,5.07E-02,0.91,23.73,-50.67,1.69E-04,0.20,4.22,0.61,0.91,0.91,2.25E+01,0.91,5.07E-02,212.03,4,5,20,10.6015,293,7.52E+04,0.91,0.91
400,0.85,0.052469201,-266.152,5.40E-02,0.91,23.73,-50.67,1.35E-04,0.20,4.22,0.61,0.91,0.91,1.91E+01,0.91,5.40E-02,212.03,4,5,20,10.6015,293,7.08E+04,0.91,0.91
700,0.85,0.06050229,-277.092,8.88E-02,0.91,23.73,-50.67,1.27E-04,0.20,4.22,0.61,0.91,0.91,1.65E+01,0.91,8.88E-02,212.03,4,5,20,10.6015,293,7.68E+04,0.91,0.91
1000,0.85,0.046817356,-114.746,2.81E-02,0.91,23.73,-50.67,2.81E-05,0.20,4.22,0.61,0.91,0.91,2.14E+01,0.91,2.81E-02,212.03,4,5,20,10.6015,293,1.32E+04,0.91,0.91
300,0.85,0.214993195,-348.389,1.69E-02,0.91,23.73,-50.67,5.65E-05,0.20,4.22,0.61,0.91,0.91,4.65E+00,0.91,1.69E-02,212.03,4,5,20,10.6015,293,1.21E+05,0.91,0.91
400,0.85,0.204613628,-356.591,2.49E-02,0.91,23.73,-50.67,6.21E-05,0.20,4.22,0.61,0.91,0.91,4.89E+00,0.91,2.49E-02,212.03,4,5,20,10.6015,293,1.27E+05,0.91,0.91
700,0.85,0.230797637,-410.971,5.12E-02,0.91,23.73,-50.67,7.32E-05,0.20,4.22,0.61,0.91,0.91,4.33E+00,0.91,5.12E-02,212.03,4,5,20,10.6015,293,1.69E+05,0.91,0.91
1000,0.85,0.173432861,-234.678,3.18E-02,0.91,23.73,-50.67,3.18E-05,0.20,4.22,0.61,0.91,0.91,5.77E+00,0.91,3.18E-02,212.03,4,5,20,10.6015,293,5.51E+04,0.91,0.91
300,0.85,2.197937455,-283.848,1.10E-03,0.91,23.73,-50.67,3.67E-06,0.20,4.22,0.61,0.91,0.91,4.55E-01,0.91,1.10E-03,212.03,4,5,20,10.6015,293,8.06E+04,0.91,0.91
400,0.85,2.301596618,-281.694,1.38E-03,0.91,23.73,-50.67,3.45E-06,0.20,4.22,0.61,0.91,0.91,4.34E-01,0.91,1.38E-03,212.03,4,5,20,10.6015,293,7.94E+04,0.91,0.91
700,0.85,2.08200172,-255.18,2.19E-03,0.91,23.73,-50.67,3.13E-06,0.20,4.22,0.61,0.91,0.91,4.80E-01,0.91,2.19E-03,212.03,4,5,20,10.6015,293,6.51E+04,0.91,0.91
1000,0.85,0.478677319,-145.433,4.42E-03,0.91,23.73,-50.67,4.42E-06,0.20,4.22,0.61,0.91,0.91,2.09E+00,0.91,4.42E-03,212.03,4,5,20,10.6015,293,2.12E+04,0.91,0.91
300,0.85,6.975397772,-476.683,9.77E-04,3.51E-05,23.73,-50.67,3.26E-06,0.000326866,2.9898,0.61,3.51E-05,3.51E-05,1.43E-01,3.51E-05,9.77E-04,206.97,4,5,20,10.3485,300,2.27E+05,3.51E-05,3.51E-05
400,0.85,2.869819259,-460.992,2.96E-03,0.000107004,23.73,-50.67,7.41E-06,0.00093196,3.1783,0.61,0.000107004,0.000107004,3.48E-01,0.000107004,2.96E-03,206.97,4,5,20,10.3485,300,2.13E+05,0.000107004,0.000107004
700,0.85,0.485187234,-332.067,1.59E-02,0.001063082,23.73,-50.67,2.27E-05,0.004804282,3.3114,0.61,0.001063082,0.001063082,2.06E+00,0.001063082,1.59E-02,206.97,4,5,20,10.3485,300,1.10E+05,0.001063082,0.001063082
1000,0.85,0.087496719,-192.833,4.25E-02,0.008095555,23.73,-50.67,4.25E-05,0.012337283,3.4447,0.61,0.008095555,0.008095555,1.14E+01,0.008095555,4.25E-02,206.97,4,5,20,10.3485,300,3.72E+04,0.008095555,0.008095555
300,0.85,18.3684,1235.43,2.49E-03,6.05E-06,23.73,-50.67,8.31E-06,0.000378505,6.5859,0.61,6.05E-06,6.05E-06,5.44E-02,6.05E-06,2.49E-03,131.06,3,4,12,10.92166667,300,1.53E+06,6.05E-06,6.05E-06
400,0.85,18.682,916.284,1.80E-03,8.49E-06,23.73,-50.67,4.49E-06,0.000292025,6.1557,0.61,8.49E-06,8.49E-06,5.35E-02,8.49E-06,1.80E-03,131.06,3,4,12,10.92166667,300,8.40E+05,8.49E-06,8.49E-06
700,0.85,3.4081,633.893,8.25E-03,0.000102606,23.73,-50.67,1.18E-05,0.001689722,4.8843,0.61,0.000102606,0.000102606,2.93E-01,0.000102606,8.25E-03,131.06,3,4,12,10.92166667,300,4.02E+05,0.000102606,0.000102606
1000,0.85,1.66438,617.422,2.29E-02,0.000395332,23.73,-50.67,2.29E-05,0.00617642,3.7083,0.61,0.000395332,0.000395332,6.01E-01,0.000395332,2.29E-02,131.06,3,4,12,10.92166667,300,3.81E+05,0.000395332,0.000395332
300,0.85,6.11207,525.19,1.35E-03,1.72E-05,23.73,-50.67,4.51E-06,0.000194341,6.9663,0.61,1.72E-05,1.72E-05,1.64E-01,1.72E-05,1.35E-03,131.06,3,4,12,10.92166667,300,2.76E+05,1.72E-05,1.72E-05
400,0.85,1.75771,444.688,4.50E-03,8.67E-05,23.73,-50.67,1.13E-05,0.000702824,6.4029,0.61,8.67E-05,8.67E-05,5.69E-01,8.67E-05,4.50E-03,131.06,3,4,12,10.92166667,300,1.98E+05,8.67E-05,8.67E-05
700,0.85,0.472214,428.212,2.72E-02,0.000634095,23.73,-50.67,3.88E-05,0.004765211,5.7042,0.61,0.000634095,0.000634095,2.12E+00,0.000634095,2.72E-02,131.06,3,4,12,10.92166667,300,1.83E+05,0.000634095,0.000634095
1000,0.85,0.365988,445.826,5.43E-02,0.001347526,23.73,-50.67,5.43E-05,0.01097686,4.9475,0.61,0.001347526,0.001347526,2.73E+00,0.001347526,5.43E-02,131.06,3,4,12,10.92166667,300,1.99E+05,0.001347526,0.001347526
300,0.85,1.04523,311.548,2.79E-03,9.27E-05,23.73,-50.67,9.29E-06,0.000368593,7.5581,0.61,9.27E-05,9.27E-05,9.57E-01,9.27E-05,2.79E-03,131.12,3,4,12,10.92666667,300,9.71E+04,9.27E-05,9.27E-05
400,0.85,0.569216,332.182,7.75E-03,0.000255588,23.73,-50.67,1.94E-05,0.001155855,6.7086,0.61,0.000255588,0.000255588,1.76E+00,0.000255588,7.75E-03,131.12,3,4,12,10.92666667,300,1.10E+05,0.000255588,0.000255588
700,0.85,0.265082,367.981,3.58E-02,0.001103719,23.73,-50.67,5.11E-05,0.006125187,5.8378,0.61,0.001103719,0.001103719,3.77E+00,0.001103719,3.58E-02,131.12,3,4,12,10.92666667,300,1.35E+05,0.001103719,0.001103719
1000,0.85,0.232176,403.782,7.02E-02,0.002174481,23.73,-50.67,7.02E-05,0.014529805,4.833,0.61,0.002174481,0.002174481,4.31E+00,0.002174481,7.02E-02,131.12,3,4,12,10.92666667,300,1.63E+05,0.002174481,0.002174481
300,0.85,0.101735,199.047,1.17E-02,0.001007782,23.73,-50.67,3.89E-05,0.001636395,7.1396,0.61,0.001007782,0.001007782,9.83E+00,0.001007782,1.17E-02,131.14,3,4,12,10.92833333,300,3.96E+04,0.001007782,0.001007782
400,0.85,0.069316,241.278,3.36E-02,0.002179399,23.73,-50.67,8.40E-05,0.005199749,6.4607,0.61,0.002179399,0.002179399,1.44E+01,0.002179399,3.36E-02,131.14,3,4,12,10.92833333,300,5.82E+04,0.002179399,0.002179399
700,0.85,0.0485233,289.576,1.21E-01,0.006212532,23.73,-50.67,1.73E-04,0.021350298,5.6659,0.61,0.006212532,0.006212532,2.06E+01,0.006212532,1.21E-01,131.14,3,4,12,10.92833333,300,8.39E+04,0.006212532,0.006212532
1000,0.85,0.0470555,325.374,2.25E-01,0.01085645,23.73,-50.67,2.25E-04,0.047104642,4.7763,0.61,0.01085645,0.01085645,2.13E+01,0.01085645,2.25E-01,131.14,3,4,12,10.92833333,300,1.06E+05,0.01085645,0.01085645
300,0.85,0.106683,196.762,1.09E-02,0.000738314,23.73,-50.67,3.63E-05,0.001171477,9.2934,0.61,0.000738314,0.000738314,9.37E+00,0.000738314,1.09E-02,131.2,3,4,12,10.93333333,300,3.87E+04,0.000738314,0.000738314
400,0.85,0.0660993,225.369,3.07E-02,0.001684251,23.73,-50.67,7.68E-05,0.003505948,8.7669,0.61,0.001684251,0.001684251,1.51E+01,0.001684251,3.07E-02,131.2,3,4,12,10.93333333,300,5.08E+04,0.001684251,0.001684251
700,0.85,0.0469005,270.256,1.09E-01,0.004567778,23.73,-50.67,1.56E-04,0.013673064,7.9727,0.61,0.004567778,0.004567778,2.13E+01,0.004567778,1.09E-01,131.2,3,4,12,10.93333333,300,7.30E+04,0.004567778,0.004567778
1000,0.85,0.0442664,303.784,2.08E-01,0.008041903,23.73,-50.67,2.08E-04,0.03041577,6.8542,0.61,0.008041903,0.008041903,2.26E+01,0.008041903,2.08E-01,131.2,3,4,12,10.93333333,300,9.23E+04,0.008041903,0.008041903
300,0.85,0.0754474,208.131,1.72E-02,0.001018906,23.73,-50.67,5.74E-05,0.001808913,9.5221,0.61,0.001018906,0.001018906,1.33E+01,0.001018906,1.72E-02,131.16,3,4,12,10.93,300,4.33E+04,0.001018906,0.001018906
400,0.85,0.0546485,241.265,4.26E-02,0.001980922,23.73,-50.67,1.07E-04,0.0047257,9.0158,0.61,0.001980922,0.001980922,1.83E+01,0.001980922,4.26E-02,131.16,3,4,12,10.93,300,5.82E+04,0.001980922,0.001980922
700,0.85,0.0406648,281.605,1.37E-01,0.005193695,23.73,-50.67,1.95E-04,0.0168798,8.0871,0.61,0.005193695,0.005193695,2.46E+01,0.005193695,1.37E-01,131.16,3,4,12,10.93,300,7.93E+04,0.005193695,0.005193695
1000,0.85,0.0408004,325.387,2.60E-01,0.008558249,23.73,-50.67,2.60E-04,0.037136033,6.9878,0.61,0.008558249,0.008558249,2.45E+01,0.008558249,2.60E-01,131.16,3,4,12,10.93,300,1.06E+05,0.008558249,0.008558249
300,0.85,2.95E-04,8.19E+01,6.83E-01,0.130138331,23.73,-50.67,2.28E-03,0.035775294,19.08,0.61,0.130138331,0.130138331,3.39E+03,0.130138331,6.83E-01,75.67,1,7,7,10.81,300,6.71E+03,0.130138331,0.130138331
400,0.85,3.54E-04,98,1.09E+00,0.203831574,23.73,-50.67,2.71E-03,0.080229444,13.53,0.61,0.203831574,0.203831574,2.83E+03,0.203831574,1.09E+00,75.67,1,7,7,10.81,300,9.60E+03,0.203831574,0.203831574
700,0.85,4.84E-04,146,3.08E+00,0.618454998,23.73,-50.67,4.40E-03,0.540286341,5.7025,0.61,0.618454998,0.618454998,2.06E+03,0.618454998,3.08E+00,75.67,1,7,7,10.81,300,2.13E+04,0.618454998,0.618454998
1000,0.85,6.00E-04,200,6.67E+00,0.853642324,23.73,-50.67,6.67E-03,1.399413646,4.7639,0.61,0.853642324,0.853642324,1.67E+03,0.853642324,6.67E+00,75.67,1,7,7,10.81,300,4.00E+04,0.853642324,0.853642324
300,0.85,2.11E-03,104,1.54E-01,0.182551653,23.73,-50.67,5.14E-04,0.080921257,1.904,0.61,0.182551653,0.182551653,4.75E+02,0.182551653,1.54E-01,75.67,1,7,7,10.81,300,1.08E+04,0.182551653,0.182551653
400,0.85,2.53E-03,118,2.20E-01,0.210427094,23.73,-50.67,5.51E-04,0.120081428,1.834,0.61,0.210427094,0.210427094,3.95E+02,0.210427094,2.20E-01,75.67,1,7,7,10.81,300,1.39E+04,0.210427094,0.210427094
700,0.85,3.40E-03,161,5.34E-01,0.240015739,23.73,-50.67,7.62E-04,0.254977376,2.093,0.61,0.240015739,0.240015739,2.94E+02,0.240015739,5.34E-01,75.67,1,7,7,10.81,300,2.59E+04,0.240015739,0.240015739
1000,0.85,4.00E-03,175,7.66E-01,0.274317579,23.73,-50.67,7.66E-04,0.344302289,2.2237,0.61,0.274317579,0.274317579,2.50E+02,0.274317579,7.66E-01,75.67,1,7,7,10.81,300,3.06E+04,0.274317579,0.274317579
