T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
400,0.85,0.00354545,201.46,4.58E-01,0.177408119,0.00355,197.87,1.14E-03,0.295085853,1.55169,0.61,0.177408119,0.177408119,2.82E+02,0.177408119,4.58E-01,269.84,4,2,8,33.73,298,4.06E+04,0.177408119,0.177408119
700,0.85,0.00872727,323.94,8.42E-01,0.202733726,0.00355,197.87,1.20E-03,0.871875767,0.965347,0.61,0.202733726,0.202733726,1.15E+02,0.202733726,8.42E-01,269.84,4,2,8,33.73,298,1.05E+05,0.202733726,0.202733726
300,0.85,0.00239394,136.17,2.32E-01,0.141017965,0.00291,195.21,7.75E-04,0.107163649,2.16832,0.61,0.141017965,0.141017965,4.18E+02,0.141017965,2.32E-01,269.84,4,2,8,33.73,298,1.85E+04,0.141017965,0.141017965
400,0.85,0.00290909,195.21,5.24E-01,0.202604022,0.00291,195.21,1.31E-03,0.316428584,1.65594,0.61,0.202604022,0.202604022,3.44E+02,0.202604022,5.24E-01,269.84,4,2,8,33.73,298,3.81E+04,0.202604022,0.202604022
700,0.85,0.00536364,327.66,1.40E+00,0.315318806,0.00291,195.21,2.00E-03,1.387416646,1.0099,0.61,0.315318806,0.315318806,1.86E+02,0.315318806,1.40E+00,269.84,4,2,8,33.73,298,1.07E+05,0.315318806,0.315318806
300,0.85,0.001822,169,4.70E-01,0.91,0.00208,192,1.57E-03,0.20,4.22,0.61,0.91,0.91,5.49E+02,0.91,4.70E-01,169.78,4,2,8,21.2225,300,2.86E+04,0.91,0.91
400,0.85,0.00208,192,7.09E-01,0.91,0.00208,192,1.77E-03,0.20,4.22,0.61,0.91,0.91,4.81E+02,0.91,7.09E-01,169.78,4,2,8,21.2225,300,3.69E+04,0.91,0.91
700,0.85,0.00302,242,1.36E+00,0.91,0.00208,192,1.94E-03,0.20,4.22,0.61,0.91,0.91,3.31E+02,0.91,1.36E+00,169.78,4,2,8,21.2225,300,5.86E+04,0.91,0.91
1000,0.85,0.004144,273,1.80E+00,0.91,0.00208,192,1.80E-03,0.20,4.22,0.61,0.91,0.91,2.41E+02,0.91,1.80E+00,169.78,4,2,8,21.2225,300,7.45E+04,0.91,0.91
300,0.85,0.001495,137,3.77E-01,0.91,0.00171,161,1.26E-03,0.20,4.22,0.61,0.91,0.91,6.69E+02,0.91,3.77E-01,169.78,4,2,8,21.2225,300,1.88E+04,0.91,0.91
400,0.85,0.001705,161,6.08E-01,0.91,0.00171,161,1.52E-03,0.20,4.22,0.61,0.91,0.91,5.87E+02,0.91,6.08E-01,169.78,4,2,8,21.2225,300,2.59E+04,0.91,0.91
700,0.85,0.002454,218.3,1.36E+00,0.91,0.00171,161,1.94E-03,0.20,4.22,0.61,0.91,0.91,4.08E+02,0.91,1.36E+00,169.78,4,2,8,21.2225,300,4.77E+04,0.91,0.91
1000,0.85,0.003342,254,1.93E+00,0.91,0.00171,161,1.93E-03,0.20,4.22,0.61,0.91,0.91,2.99E+02,0.91,1.93E+00,169.78,4,2,8,21.2225,300,6.45E+04,0.91,0.91
300,0.85,0.00133341,127.631,3.67E-01,0.126497418,0.0015184,151.36,1.22E-03,0.08445088,4.33976,0.61,0.126497418,0.126497418,7.50E+02,0.126497418,3.67E-01,169.78,4,2,8,21.2225,300,1.63E+04,0.126497418,0.126497418
400,0.85,0.0015184,151.36,6.04E-01,0.155075158,0.0015184,151.36,1.51E-03,0.145604448,4.14497,0.61,0.155075158,0.155075158,6.59E+02,0.155075158,6.04E-01,169.78,4,2,8,21.2225,300,2.29E+04,0.155075158,0.155075158
700,0.85,0.00218446,209.823,1.41E+00,0.204866306,0.0015184,151.36,2.02E-03,0.369646753,3.81657,0.61,0.204866306,0.204866306,4.58E+02,0.204866306,1.41E+00,169.78,4,2,8,21.2225,300,4.40E+04,0.204866306,0.204866306
